"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical"
"
North America
"
Europe
","1,848,322","17,655","166,805","1,007","826,641","854,876","10,751"
"
South America
","548,624","28,536","28,078","1,453","206,440","314,106","10,657"
"
Africa
","101,684","4,694","3,115",105,"40,588","57,981",285
"
Oceania
","8,688",2,121,,"8,025",542,10
"

",721,,15,,651,55,4
World,"5,190,496","107,085","334,173","4,934","2,079,017","2,777,306","45,620"
China,"82,967",2,"4,634",,"78,249",84,8
USA,"1,620,902","28,179","96,354","1,418","382,169","1,142,379","17,902"
Russia,"317,554","8,849","3,099",127,"92,681","221,774","2,300"
Brazil,"310,921","17,564","20,082","1,188","125,960","164,879","8,318"
Spain,"280,117",593,"27,940",52,"196,958","55,219","1,152"
UK,"250,908","2,615","36,042",338,N/A,N/A,"1,559"
Italy,"228,006",642,"32,486",156,"134,560","60,960",640
France,"181,826",251,"28,215",83,"63,858","89,753","1,745"
Germany,"179,021",490,"8,309",39,"158,000","12,712","1,016"
Turkey,"153,548",961,"4,249",27,"114,990","34,309",820
Iran,"129,341","2,392","7,249",66,"100,564","21,528","2,655"
India,"118,226","6,198","3,584",150,"48,553","66,089",
Peru,"108,769","4,749","3,148",124,"43,587","62,034",886
Canada,"81,324","1,182","6,152",121,"41,715","33,457",502
Saudi Arabia,"65,077","2,532",351,12,"36,040","28,686",281
Chile,"57,581","3,964",589,45,"23,992","33,000",943
Mexico,"56,594","2,248","6,090",424,"38,876","11,628",378
Belgium,"56,235",252,"9,186",36,"14,988","32,061",277
Pakistan,"48,091","2,193","1,017",32,"14,155","32,919",111
Netherlands,"44,700",253,"5,775",27,N/A,N/A,255
Qatar,"38,651","1,554",17,1,"7,288","31,346",171
Ecuador,"35,306",452,"2,939",51,"3,557","28,810",191
Belarus,"33,371",945,185,6,"12,057","21,129",92
Sweden,"32,172",649,"3,871",40,"4,971","23,330",352
Switzerland,"30,694",36,"1,898",6,"27,900",896,55
Portugal,"29,912",252,"1,277",14,"6,452","22,183",93
Singapore,"29,812",448,23,1,"12,117","17,672",10
Bangladesh,"28,511","1,773",408,22,"5,602","22,501",1
UAE,"26,898",894,237,4,"12,755","13,906",1
Ireland,"24,391",76,"1,583",12,"21,060","1,748",54
Indonesia,"20,162",973,"1,278",36,"4,838","14,046",
Poland,"20,143",404,972,10,"8,452","10,719",160
Ukraine,"19,706",476,579,15,"6,227","12,900",249
South Africa,"19,137","1,134",369,30,"8,950","9,818",119
Kuwait,"18,609","1,041",129,5,"5,205","13,275",181
Colombia,"18,330",643,652,22,"4,431","13,247",136
Romania,"17,585",198,"1,156",9,"10,581","5,848",203
Israel,"16,683",16,279,,"13,724","2,680",47
Japan,"16,424",39,777,6,"12,672","2,975",195
Austria,"16,404",51,633,,"14,951",820,32
Egypt,"15,003",774,696,16,"4,217","10,090",41
Dominican Republic,"13,657",180,448,2,"7,366","5,843",113
Philippines,"13,434",213,846,4,"3,000","9,588",81
Denmark,"11,182",65,561,7,"9,643",978,23
S. Korea,"11,122",12,264,1,"10,135",723,15
Serbia,"10,919",86,237,2,"5,370","5,312",12
Panama,"10,116",139,291,4,"6,245","3,580",72
